score_type,score_name,count,null_count,mean,median,std,min,max,p5,p10,p25,p50,p75,p90,p95,p99
parameter,score_urban_gate,647322,0,0.7267465032858453,1.0,0.44563026157231755,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
parameter,score_cruise_road,647322,0,0.2046449834858077,0.16,0.14106344237067991,0.16,1.0,0.16,0.16,0.16,0.16,0.2,0.2,0.25,1.0
parameter,score_offroad,647322,0,0.679772524338737,0.64,0.14661157676589587,0.08,0.8,0.3,0.6,0.6,0.64,0.8,0.8,0.8,0.8
parameter,score_calm_road,647322,0,0.3699410926864837,0.3,0.13435174638159608,0.216,1.0,0.24,0.24,0.3,0.3,0.5,0.5,0.5,1.0
parameter,score_flow,647322,0,0.9562975931607454,0.9973,0.08505213045569342,0.5,1.0,0.8097,0.8874,0.946,0.9973,1.0,1.0,1.0,1.0
parameter,score_remoteness,647322,0,0.8066837510543439,0.921,0.24659672042989844,0.0,1.0,0.1516,0.4686,0.7264,0.921,0.9738,0.9862,0.9907,0.9958
parameter,score_twist,647322,0,0.20382175671458716,0.0,0.334089647000967,0.0,1.0,0.0,0.0,0.0,0.0,0.4015,0.8,0.8,1.0
parameter,score_scenic,647322,0,0.6982593670538001,0.75,0.1008714582157991,0.6,1.0,0.6,0.6,0.6,0.75,0.75,0.88,0.88,1.0
persona,persona_milemuncher_score,647322,0,0.11585545200070442,0.1285,0.11736282810944691,0.0,0.9208,0.0,0.0,0.0,0.1285,0.1412,0.1738,0.178,0.6983790000000037
persona,persona_cornercraver_score,647322,0,0.17892279035781267,0.0,0.31104846832319305,0.0,0.9759,0.0,0.0,0.0,0.0,0.277275,0.7583,0.7647,0.9604
persona,persona_trailblazer_score,647322,0,0.3371823914527855,0.4256,0.2242131033777445,0.0,0.6591,0.0,0.0,0.0,0.4256,0.5477,0.5667,0.5728,0.5856
persona,persona_tranquiltraveller_score,647322,0,0.2337075592981546,0.2579,0.17419855135666645,0.0,0.9993,0.0,0.0,0.0,0.2579,0.36767500000000003,0.4381,0.4602,0.7646
