osm_id,name,road_type_i1,score_urban_gate,score_cruise_road,score_offroad,score_calm_road,score_flow,score_remoteness,score_twist,score_scenic,persona_milemuncher_score,persona_cornercraver_score,persona_trailblazer_score,persona_tranquiltraveller_score,persona
1362535561,,Res,1.0,0.16,0.8,0.3,0.6237,0.9204,0.0,1.0,0.0906,0.0,0.6591,0.2675,trailblazer
1346942595,,Res,1.0,0.16,0.8,0.3,0.5,0.9524,0.0,0.75,0.0706,0.0,0.6555,0.2405,trailblazer
779857355,,Res,1.0,0.16,0.8,0.3,0.5,0.9356,0.0,0.75,0.0707,0.0,0.6522,0.2397,trailblazer
821285628,,Res,1.0,0.16,0.8,0.3,0.5,0.9354,0.0,0.75,0.0707,0.0,0.6521,0.2397,trailblazer
821285627,,Res,1.0,0.16,0.8,0.3,0.5,0.9354,0.0,0.75,0.0707,0.0,0.6521,0.2397,trailblazer
780259685,,Res,1.0,0.16,0.8,0.3,0.5,0.9328,0.0,0.75,0.0707,0.0,0.6516,0.2395,trailblazer
1292765133,,Res,1.0,0.16,0.8,0.3,0.5172,0.9479,0.0,0.75,0.073,0.0,0.6514,0.2415,trailblazer
1371552507,,Res,1.0,0.16,0.8,0.3,0.5,0.929,0.0,0.75,0.0708,0.0,0.6508,0.2394,trailblazer
1361104659,,Res,1.0,0.16,0.8,0.3,0.5,0.9278,0.0,0.75,0.0708,0.0,0.6506,0.2393,trailblazer
1317520460,,Res,1.0,0.16,0.8,0.3,0.5,0.9273,0.0,0.75,0.0708,0.0,0.6505,0.2393,trailblazer
